timestamp,sensor_id,plant_name,plant_id,co_level,no2_level,so2_level,pm2_5,pm10,o3_level,temperature,humidity,wind_speed,wind_direction,aqi,pollution_score,anomaly_flag,anomaly_severity
44:41.5,SENSOR_49,Reliance Jamnagar Refinery,PLT102,0.63,15.97,97.28,101.16,213.26,163.82,22.48,50.78,11.46,NE,117,0.23,True,Moderate
44:41.5,SENSOR_26,NTPC Ramagundam,PLT101,1.22,24.63,47.01,56.75,373.29,146.42,34.0,85.36,12.15,NW,144,0.29,True,High
44:41.5,SENSOR_24,Tata Steel Jamshedpur,PLT100,1.01,179.59,83.2,244.16,360.51,60.65,18.3,37.1,6.69,S,250,0.5,True,High
44:41.5,SENSOR_8,Vedanta Jharsuguda,PLT103,4.11,173.54,6.01,158.12,178.62,43.87,18.6,45.32,14.17,NE,152,0.3,True,Moderate
44:41.5,SENSOR_28,IOCL Panipat Refinery,PLT106,1.68,108.57,106.94,115.45,389.28,173.43,22.55,57.29,4.86,SW,195,0.39,True,High
44:41.5,SENSOR_29,SAIL Bhilai Steel Plant,PLT107,1.5,17.01,93.39,155.78,39.56,53.76,42.25,37.97,2.6,SW,86,0.17,True,Moderate
44:41.5,SENSOR_50,ONGC Hazira,PLT108,2.5,197.27,40.1,204.92,309.42,46.59,36.85,47.58,9.67,NE,218,0.44,True,High
44:41.5,SENSOR_14,ONGC Hazira,PLT108,3.2,111.8,18.09,252.24,141.9,37.64,16.22,64.32,10.32,SW,167,0.33,True,Moderate
44:41.5,SENSOR_43,GAIL Vijaipur,PLT109,0.18,107.3,37.84,197.1,86.26,125.91,26.6,90.25,2.49,NE,129,0.26,True,Moderate
44:41.5,SENSOR_30,Vedanta Jharsuguda,PLT103,1.77,31.56,139.08,264.43,118.02,120.5,39.52,61.64,8.18,SW,161,0.32,True,High
44:41.5,SENSOR_8,Reliance Jamnagar Refinery,PLT102,1.29,27.69,135.1,271.12,260.58,64.33,25.48,74.45,13.51,NE,205,0.41,True,High
44:41.5,SENSOR_34,Adani Mundra,PLT105,4.45,158.18,98.09,34.4,81.42,162.25,33.19,20.69,1.97,S,79,0.16,True,Moderate
44:41.5,SENSOR_29,Adani Mundra,PLT105,3.35,10.96,28.32,169.13,282.92,119.09,21.73,73.41,3.94,S,157,0.31,True,Moderate
44:41.5,SENSOR_13,JSW Vijayanagar,PLT104,1.69,151.83,99.2,256.27,269.89,104.45,17.81,47.58,4.35,NW,223,0.45,True,High
44:41.5,SENSOR_32,NTPC Ramagundam,PLT101,1.3,194.87,62.0,268.69,259.83,144.09,30.08,63.27,7.64,NW,230,0.46,True,High
44:41.5,SENSOR_9,Tata Steel Jamshedpur,PLT100,1.06,147.27,45.71,17.05,265.28,35.99,43.21,91.54,13.77,NE,120,0.24,True,Moderate
44:41.5,SENSOR_5,SAIL Bhilai Steel Plant,PLT107,1.91,12.94,139.61,134.17,387.33,173.63,40.59,42.08,6.08,SW,186,0.37,True,High
44:41.5,SENSOR_47,Tata Steel Jamshedpur,PLT100,4.27,70.22,29.58,171.47,375.74,126.81,32.1,27.29,9.42,N,198,0.4,True,High
44:41.5,SENSOR_13,ONGC Hazira,PLT108,4.95,36.62,80.16,264.44,301.49,126.98,36.07,46.96,4.76,NW,211,0.42,True,Moderate
44:41.5,SENSOR_9,ONGC Hazira,PLT108,4.07,163.92,130.73,274.84,214.31,92.77,38.95,68.75,10.68,S,220,0.44,True,High
44:41.5,SENSOR_46,Vedanta Jharsuguda,PLT103,4.0,179.1,54.01,118.92,55.71,106.2,16.08,54.92,8.37,SW,105,0.21,True,High
44:41.5,SENSOR_21,ONGC Hazira,PLT108,1.5,122.26,9.42,20.83,332.59,68.03,18.81,59.17,11.66,SE,133,0.27,True,Moderate
44:41.5,SENSOR_25,JSW Vijayanagar,PLT104,1.16,128.35,17.38,24.99,221.91,99.61,34.12,74.46,14.65,SE,103,0.21,True,Moderate
44:41.5,SENSOR_6,Tata Steel Jamshedpur,PLT100,2.63,71.36,120.3,88.54,186.81,18.73,15.76,92.2,12.62,S,117,0.23,True,Moderate
44:41.5,SENSOR_14,Adani Mundra,PLT105,3.51,87.7,30.13,55.37,115.09,101.11,36.44,69.51,4.56,NE,77,0.15,False,Normal
44:41.5,SENSOR_15,ONGC Hazira,PLT108,4.78,150.2,85.38,187.4,179.45,48.35,25.68,76.84,0.71,W,167,0.33,True,Moderate
44:41.5,SENSOR_41,Vedanta Jharsuguda,PLT103,0.67,18.74,10.91,258.08,287.39,87.98,17.94,56.87,7.37,SE,194,0.39,True,Moderate
44:41.5,SENSOR_12,IOCL Panipat Refinery,PLT106,0.95,92.43,62.78,188.6,261.34,12.93,26.24,66.94,7.8,S,178,0.36,True,Moderate
44:41.5,SENSOR_7,ONGC Hazira,PLT108,4.3,135.15,28.63,30.46,264.12,9.64,32.57,90.52,8.84,E,121,0.24,True,Moderate
44:41.5,SENSOR_41,Tata Steel Jamshedpur,PLT100,2.0,132.22,71.45,168.23,377.76,72.57,43.84,87.9,3.34,NE,214,0.43,True,High
44:41.5,SENSOR_11,ONGC Hazira,PLT108,0.44,29.15,7.64,37.39,279.54,17.46,24.57,83.37,0.84,NE,105,0.21,True,Moderate
44:41.5,SENSOR_33,NTPC Ramagundam,PLT101,4.09,63.55,22.13,212.05,259.0,158.56,37.05,80.26,4.59,N,177,0.35,True,Moderate
44:41.5,SENSOR_47,Reliance Jamnagar Refinery,PLT102,0.97,152.62,121.99,297.25,176.79,70.1,38.29,45.56,14.0,N,214,0.43,True,High
44:41.5,SENSOR_3,Reliance Jamnagar Refinery,PLT102,4.31,91.51,113.88,228.82,59.19,162.95,30.16,81.98,5.14,N,138,0.28,True,Moderate
44:41.5,SENSOR_50,JSW Vijayanagar,PLT104,4.49,83.95,6.57,272.56,54.69,60.88,43.5,91.3,8.81,W,142,0.28,True,High
44:41.5,SENSOR_12,Adani Mundra,PLT105,3.2,95.2,47.52,105.31,275.56,136.67,38.75,79.22,1.82,S,148,0.3,True,Moderate
44:41.5,SENSOR_7,Reliance Jamnagar Refinery,PLT102,2.52,20.94,84.68,138.04,357.33,66.41,18.51,30.72,11.54,S,175,0.35,True,High
44:41.5,SENSOR_20,Reliance Jamnagar Refinery,PLT102,3.13,29.21,17.2,213.28,47.65,148.83,36.19,26.1,1.73,W,107,0.21,True,Moderate
44:41.5,SENSOR_28,Tata Steel Jamshedpur,PLT100,4.93,81.11,58.74,245.71,379.95,177.55,37.6,48.22,1.71,SW,234,0.47,True,High
44:41.5,SENSOR_7,NTPC Ramagundam,PLT101,3.91,116.1,66.51,272.84,62.26,91.21,15.34,55.15,1.32,SW,157,0.31,True,High
44:41.5,SENSOR_5,SAIL Bhilai Steel Plant,PLT107,0.68,32.33,99.14,226.35,241.68,173.38,26.25,41.43,13.09,SW,179,0.36,True,Moderate
44:41.5,SENSOR_20,ONGC Hazira,PLT108,1.2,193.01,6.76,291.26,36.4,160.95,30.83,94.47,1.57,NE,166,0.33,True,High
44:41.5,SENSOR_36,GAIL Vijaipur,PLT109,2.81,194.17,80.85,192.53,284.38,84.54,33.83,63.82,13.57,NW,209,0.42,True,High
44:41.5,SENSOR_17,IOCL Panipat Refinery,PLT106,0.32,63.38,142.81,268.18,193.15,113.52,23.32,34.11,7.22,NE,192,0.38,True,High
44:41.5,SENSOR_18,Tata Steel Jamshedpur,PLT100,1.83,120.89,16.27,292.57,394.76,127.18,31.08,43.21,12.3,E,261,0.52,True,High
44:41.5,SENSOR_6,Tata Steel Jamshedpur,PLT100,3.46,40.9,137.08,248.54,380.92,132.0,33.4,51.37,14.02,E,235,0.47,True,High
44:41.5,SENSOR_22,Tata Steel Jamshedpur,PLT100,4.34,18.59,8.82,119.17,328.01,177.77,19.51,64.56,6.02,S,150,0.3,True,Moderate
44:41.5,SENSOR_6,ONGC Hazira,PLT108,4.85,170.0,126.56,145.92,177.63,52.85,16.69,84.85,12.29,SW,158,0.32,True,High
44:41.5,SENSOR_41,Vedanta Jharsuguda,PLT103,5.0,199.36,85.54,233.01,379.01,153.69,22.42,53.79,2.37,S,255,0.51,True,High
44:41.5,SENSOR_33,NTPC Ramagundam,PLT101,4.77,125.17,38.15,204.79,254.89,67.68,18.41,70.37,8.04,NW,187,0.37,True,Moderate
44:41.5,SENSOR_20,NTPC Ramagundam,PLT101,3.88,108.83,128.57,170.05,233.16,158.41,27.1,30.05,0.92,SE,172,0.34,True,High
44:41.5,SENSOR_30,JSW Vijayanagar,PLT104,3.8,127.86,107.09,71.76,71.82,7.55,25.52,64.24,6.19,E,86,0.17,True,Moderate
44:41.5,SENSOR_37,Vedanta Jharsuguda,PLT103,2.24,181.79,55.5,159.06,317.79,74.39,33.66,84.68,14.27,SE,200,0.4,True,High
44:41.5,SENSOR_44,IOCL Panipat Refinery,PLT106,0.82,186.05,76.36,84.89,194.47,176.51,29.78,44.66,9.68,SW,137,0.27,True,High
44:41.5,SENSOR_7,ONGC Hazira,PLT108,1.28,24.41,23.69,47.13,77.72,29.29,34.23,33.64,5.51,SE,49,0.1,False,Normal
44:41.5,SENSOR_24,Vedanta Jharsuguda,PLT103,4.49,100.05,101.8,59.97,93.07,12.15,20.07,40.89,3.07,SW,82,0.16,True,Moderate
44:41.5,SENSOR_49,GAIL Vijaipur,PLT109,0.53,32.92,71.81,69.84,158.42,93.1,35.71,22.95,12.09,NW,89,0.18,False,Normal
44:41.5,SENSOR_14,NTPC Ramagundam,PLT101,3.18,25.53,131.67,277.05,43.21,53.45,39.19,76.12,3.18,NW,142,0.28,True,High
44:41.5,SENSOR_27,Reliance Jamnagar Refinery,PLT102,1.13,80.39,75.26,189.29,160.19,85.94,37.42,22.75,4.16,NE,147,0.29,True,Moderate
44:41.5,SENSOR_25,ONGC Hazira,PLT108,3.6,180.09,79.19,164.31,60.73,83.3,30.98,38.19,4.4,NW,127,0.25,True,High
44:41.5,SENSOR_46,SAIL Bhilai Steel Plant,PLT107,1.95,13.81,51.7,71.32,144.45,25.96,41.72,64.52,10.35,N,79,0.16,False,Normal
44:41.5,SENSOR_2,IOCL Panipat Refinery,PLT106,3.97,104.7,17.6,165.76,243.0,135.45,27.95,29.57,4.61,NE,161,0.32,True,Moderate
44:41.5,SENSOR_24,Adani Mundra,PLT105,1.88,132.72,87.76,113.27,394.88,111.01,22.12,27.63,2.72,E,199,0.4,True,High
44:41.5,SENSOR_15,Vedanta Jharsuguda,PLT103,1.31,40.53,32.05,92.68,85.88,161.93,17.41,59.34,6.45,E,74,0.15,False,Normal
44:41.5,SENSOR_14,NTPC Ramagundam,PLT101,4.91,31.29,62.69,291.15,348.89,147.99,22.74,32.82,10.2,S,233,0.47,True,High
44:41.5,SENSOR_26,IOCL Panipat Refinery,PLT106,4.65,115.78,87.88,91.19,312.41,37.73,24.71,51.91,7.86,SE,162,0.32,True,Moderate
44:41.5,SENSOR_11,SAIL Bhilai Steel Plant,PLT107,1.29,31.82,93.54,93.7,240.87,32.01,29.43,59.94,1.25,NW,125,0.25,True,Moderate
44:41.5,SENSOR_50,NTPC Ramagundam,PLT101,1.75,35.54,14.19,297.09,142.49,146.73,22.64,71.11,11.52,NW,170,0.34,True,High
44:41.5,SENSOR_40,IOCL Panipat Refinery,PLT106,3.02,99.6,64.72,111.17,373.22,150.36,43.95,29.32,11.1,N,182,0.36,True,High
44:41.5,SENSOR_37,ONGC Hazira,PLT108,4.7,44.43,14.64,224.92,238.3,152.32,19.19,79.65,3.42,NW,171,0.34,True,Moderate
44:41.5,SENSOR_34,Tata Steel Jamshedpur,PLT100,0.9,41.21,123.11,202.91,218.76,67.8,41.32,49.43,12.34,W,167,0.33,True,Moderate
44:41.5,SENSOR_15,JSW Vijayanagar,PLT104,2.25,81.62,72.09,97.4,304.09,92.98,21.97,87.47,6.07,S,153,0.31,True,Moderate
44:41.5,SENSOR_28,ONGC Hazira,PLT108,2.76,182.23,95.51,43.9,377.14,114.85,25.05,30.45,12.01,S,176,0.35,True,High
44:41.5,SENSOR_39,GAIL Vijaipur,PLT109,3.14,111.36,134.61,238.69,77.64,59.55,22.45,75.8,0.99,NW,154,0.31,True,High
44:41.5,SENSOR_39,SAIL Bhilai Steel Plant,PLT107,2.89,154.87,132.13,109.2,332.08,24.36,40.39,29.56,6.26,W,187,0.37,True,High
44:41.5,SENSOR_21,Adani Mundra,PLT105,4.01,38.48,38.24,219.45,293.61,117.2,35.82,60.7,4.15,NW,187,0.37,True,Moderate
44:41.5,SENSOR_46,ONGC Hazira,PLT108,1.79,44.5,136.73,179.18,172.32,85.85,43.42,31.5,9.0,S,145,0.29,True,High
44:41.5,SENSOR_36,JSW Vijayanagar,PLT104,2.58,126.18,7.63,262.92,374.2,103.9,35.9,89.19,10.75,SE,243,0.49,True,High
44:41.5,SENSOR_32,JSW Vijayanagar,PLT104,0.85,119.49,92.97,133.0,299.85,168.51,42.77,53.81,2.14,S,176,0.35,True,Moderate
44:41.5,SENSOR_31,Tata Steel Jamshedpur,PLT100,4.93,169.39,23.08,277.04,350.56,95.8,32.74,49.93,1.29,SE,252,0.5,True,High
44:41.5,SENSOR_20,GAIL Vijaipur,PLT109,1.74,162.54,5.67,106.71,171.3,99.04,42.6,45.98,5.53,S,127,0.25,True,Moderate
44:41.5,SENSOR_35,JSW Vijayanagar,PLT104,3.71,95.92,37.57,141.21,73.53,35.87,29.95,51.42,13.77,NE,101,0.2,False,Normal
44:41.5,SENSOR_22,Vedanta Jharsuguda,PLT103,1.88,120.31,96.68,13.8,272.14,36.16,43.83,31.15,6.51,W,120,0.24,True,Moderate
44:41.5,SENSOR_19,IOCL Panipat Refinery,PLT106,0.52,199.41,77.82,182.66,45.49,136.24,21.3,87.35,3.47,E,134,0.27,True,High
44:41.5,SENSOR_6,IOCL Panipat Refinery,PLT106,1.03,16.94,73.45,173.8,44.97,140.72,28.6,59.33,6.89,S,93,0.19,False,Normal
44:41.5,SENSOR_33,IOCL Panipat Refinery,PLT106,2.06,116.33,27.51,62.76,347.48,170.57,26.2,40.31,9.84,S,155,0.31,True,Moderate
44:41.5,SENSOR_36,Tata Steel Jamshedpur,PLT100,2.1,14.82,27.64,217.63,270.39,9.74,21.66,37.33,10.24,SE,173,0.35,True,Moderate
44:41.5,SENSOR_45,Tata Steel Jamshedpur,PLT100,0.2,29.78,120.99,61.78,268.04,46.68,17.98,38.24,10.97,E,123,0.25,True,Moderate
44:41.5,SENSOR_10,JSW Vijayanagar,PLT104,4.29,167.74,62.59,203.74,97.89,56.3,41.89,20.98,1.74,W,150,0.3,True,Moderate
44:41.5,SENSOR_23,IOCL Panipat Refinery,PLT106,1.12,15.04,31.31,179.08,180.14,161.22,39.52,45.64,4.26,N,131,0.26,False,Normal
44:41.5,SENSOR_14,ONGC Hazira,PLT108,1.96,122.16,43.87,191.0,175.58,101.61,28.08,42.08,14.25,E,157,0.31,True,Moderate
44:41.5,SENSOR_15,NTPC Ramagundam,PLT101,3.84,36.62,130.93,151.36,359.93,144.97,27.76,21.69,4.4,S,188,0.38,True,High
44:41.5,SENSOR_50,GAIL Vijaipur,PLT109,2.75,130.36,42.39,50.41,337.27,177.27,30.77,32.88,4.45,SE,151,0.3,True,Moderate
44:41.5,SENSOR_13,Adani Mundra,PLT105,0.19,183.72,22.07,177.19,124.14,101.98,34.54,82.23,3.49,S,147,0.29,True,High
44:41.5,SENSOR_17,Reliance Jamnagar Refinery,PLT102,0.15,36.01,135.5,263.43,247.02,110.09,34.95,33.15,13.76,NE,200,0.4,True,High
44:41.5,SENSOR_43,ONGC Hazira,PLT108,2.15,82.8,80.24,23.62,83.19,134.16,17.48,65.24,4.06,W,58,0.12,False,Normal
44:41.5,SENSOR_45,Adani Mundra,PLT105,2.01,64.85,56.57,218.52,132.91,104.12,29.28,69.78,14.08,NE,145,0.29,True,Moderate
44:41.5,SENSOR_12,Vedanta Jharsuguda,PLT103,3.69,50.84,9.52,86.06,246.13,14.0,29.89,64.76,5.35,W,119,0.24,True,Moderate
44:41.5,SENSOR_18,Adani Mundra,PLT105,3.88,30.25,15.89,221.17,208.29,125.47,28.04,38.48,12.38,W,158,0.32,True,Moderate
44:41.5,SENSOR_19,SAIL Bhilai Steel Plant,PLT107,4.02,141.99,44.46,181.17,157.17,21.03,42.52,30.26,14.28,W,152,0.3,True,Moderate
44:41.5,SENSOR_49,Adani Mundra,PLT105,2.29,45.18,83.58,263.15,298.25,146.15,34.76,71.92,12.81,NW,212,0.42,True,Moderate
44:41.5,SENSOR_46,Reliance Jamnagar Refinery,PLT102,1.32,102.99,37.08,296.42,378.74,11.9,36.17,89.39,3.12,SW,256,0.51,True,High
44:41.5,SENSOR_22,JSW Vijayanagar,PLT104,2.88,183.94,9.92,212.25,132.99,166.77,44.13,90.82,7.38,SW,162,0.32,True,High
44:41.5,SENSOR_48,Vedanta Jharsuguda,PLT103,4.32,170.46,51.27,250.39,34.06,109.35,21.9,29.04,1.62,NE,149,0.3,True,Moderate
44:41.5,SENSOR_36,ONGC Hazira,PLT108,3.51,74.58,110.09,28.95,139.81,99.41,38.72,43.91,9.58,NE,79,0.16,True,Moderate
44:41.5,SENSOR_38,Adani Mundra,PLT105,4.44,127.01,38.78,17.08,350.64,8.72,41.24,59.67,14.12,W,141,0.28,True,High
44:41.5,SENSOR_21,GAIL Vijaipur,PLT109,4.01,199.61,55.85,232.48,172.73,88.98,33.83,85.53,14.77,E,190,0.38,True,High
44:41.5,SENSOR_8,Vedanta Jharsuguda,PLT103,3.86,89.38,66.1,223.9,110.74,24.33,25.64,41.54,4.8,SW,147,0.29,True,Moderate
44:41.5,SENSOR_6,JSW Vijayanagar,PLT104,1.24,18.0,7.59,296.44,182.55,72.26,35.39,36.37,14.27,SW,177,0.35,True,High
44:41.5,SENSOR_14,NTPC Ramagundam,PLT101,3.95,26.99,65.55,264.94,379.0,86.8,33.4,32.53,14.87,NW,231,0.46,True,High
44:41.5,SENSOR_39,JSW Vijayanagar,PLT104,1.24,189.12,99.2,186.24,214.82,45.37,20.3,36.54,3.2,SW,186,0.37,True,High
44:41.5,SENSOR_17,ONGC Hazira,PLT108,3.92,76.52,13.39,291.04,355.84,167.36,44.85,33.04,6.25,SE,239,0.48,True,High
44:41.5,SENSOR_32,Vedanta Jharsuguda,PLT103,3.82,142.24,27.31,246.59,105.29,44.17,31.11,64.47,8.91,SW,161,0.32,True,Moderate
44:41.5,SENSOR_2,Vedanta Jharsuguda,PLT103,0.55,176.72,43.51,47.56,357.72,172.24,40.86,80.71,10.0,SW,166,0.33,True,High
44:41.5,SENSOR_1,Reliance Jamnagar Refinery,PLT102,2.8,26.53,64.23,118.08,118.71,131.6,29.88,26.08,3.69,E,94,0.19,False,Normal
44:41.5,SENSOR_29,NTPC Ramagundam,PLT101,3.45,24.46,128.43,153.59,202.62,108.67,39.74,46.09,10.33,E,139,0.28,True,High
44:41.5,SENSOR_5,SAIL Bhilai Steel Plant,PLT107,2.87,60.74,132.4,241.25,270.21,153.85,41.02,73.13,12.64,E,202,0.4,True,High
44:41.5,SENSOR_38,NTPC Ramagundam,PLT101,3.52,139.23,94.7,228.29,80.27,159.15,41.16,22.19,12.47,S,152,0.3,True,Moderate
44:41.5,SENSOR_6,JSW Vijayanagar,PLT104,0.73,73.67,112.81,56.62,330.83,150.62,30.22,20.48,4.66,SE,147,0.29,True,Moderate
44:41.5,SENSOR_38,IOCL Panipat Refinery,PLT106,3.12,196.43,96.61,85.34,260.92,99.5,38.4,28.02,11.53,NW,161,0.32,True,High
44:41.5,SENSOR_27,JSW Vijayanagar,PLT104,2.75,192.97,54.57,193.46,374.17,22.94,43.12,71.59,1.48,E,233,0.47,True,High
44:41.5,SENSOR_29,JSW Vijayanagar,PLT104,1.57,144.55,14.77,178.83,151.44,113.66,16.37,85.37,14.62,NW,147,0.29,True,Moderate
44:41.5,SENSOR_40,SAIL Bhilai Steel Plant,PLT107,4.85,152.43,23.86,229.9,29.34,8.87,24.71,56.65,11.67,SW,133,0.27,True,Moderate
44:41.5,SENSOR_42,Tata Steel Jamshedpur,PLT100,3.45,94.72,44.68,299.17,181.95,83.99,19.91,79.61,10.56,S,197,0.39,True,High
44:41.5,SENSOR_36,ONGC Hazira,PLT108,1.18,25.65,103.67,199.81,123.84,171.4,19.53,52.43,14.18,SW,132,0.26,True,Moderate
44:41.5,SENSOR_12,NTPC Ramagundam,PLT101,2.16,131.32,62.65,89.52,393.91,76.63,41.82,37.25,3.59,W,186,0.37,True,High
44:41.5,SENSOR_22,Adani Mundra,PLT105,0.25,133.82,58.44,260.66,199.82,174.43,20.57,85.15,11.76,NE,196,0.39,True,Moderate
44:41.5,SENSOR_32,Adani Mundra,PLT105,3.88,170.51,115.35,191.6,69.87,10.69,42.63,66.25,12.05,SW,143,0.29,True,Moderate
44:41.5,SENSOR_5,Vedanta Jharsuguda,PLT103,2.46,32.29,23.15,208.81,183.52,40.09,29.75,24.82,8.94,W,147,0.29,True,Moderate
44:41.5,SENSOR_49,Tata Steel Jamshedpur,PLT100,1.42,161.54,50.0,142.01,24.42,17.68,26.77,56.0,9.2,NE,101,0.2,True,Moderate
44:41.5,SENSOR_49,IOCL Panipat Refinery,PLT106,1.53,142.05,129.72,236.16,35.06,89.09,18.15,38.15,14.81,NW,146,0.29,True,High
44:41.5,SENSOR_3,Adani Mundra,PLT105,0.8,104.79,94.63,213.71,232.67,6.71,24.79,58.83,1.77,SW,185,0.37,True,Moderate
44:41.5,SENSOR_39,JSW Vijayanagar,PLT104,1.82,16.31,16.39,125.11,70.43,104.32,35.68,80.04,3.4,N,76,0.15,False,Normal
44:41.5,SENSOR_32,JSW Vijayanagar,PLT104,0.92,29.87,97.28,214.88,32.0,168.84,16.56,60.6,10.78,N,111,0.22,True,Moderate
44:41.5,SENSOR_28,NTPC Ramagundam,PLT101,4.37,145.68,121.25,108.44,329.63,19.02,41.84,61.07,12.35,W,183,0.37,True,Moderate
44:41.5,SENSOR_42,SAIL Bhilai Steel Plant,PLT107,2.32,132.28,81.33,222.16,51.02,15.56,22.41,31.97,13.14,SE,138,0.28,True,Moderate
44:41.5,SENSOR_45,Reliance Jamnagar Refinery,PLT102,1.17,195.41,53.85,62.81,320.09,120.27,29.95,61.65,10.93,E,165,0.33,True,High
44:41.5,SENSOR_2,JSW Vijayanagar,PLT104,1.22,199.3,146.35,198.59,95.83,124.04,17.17,22.3,4.24,W,162,0.32,True,High
44:41.5,SENSOR_17,Tata Steel Jamshedpur,PLT100,2.37,174.97,110.44,225.38,181.69,65.54,26.13,94.07,1.08,N,190,0.38,True,Moderate
44:41.5,SENSOR_9,JSW Vijayanagar,PLT104,4.35,119.95,68.6,220.32,204.93,157.85,42.02,51.63,4.51,SE,180,0.36,True,Moderate
44:41.5,SENSOR_16,SAIL Bhilai Steel Plant,PLT107,3.0,183.35,35.55,190.66,259.99,133.29,18.95,73.69,13.68,NW,194,0.39,True,High
44:41.5,SENSOR_27,JSW Vijayanagar,PLT104,0.98,55.13,145.85,62.48,344.67,91.15,22.42,85.31,6.96,E,154,0.31,True,High
44:41.5,SENSOR_46,IOCL Panipat Refinery,PLT106,2.62,78.25,90.98,57.42,168.61,174.65,22.74,69.26,5.22,S,98,0.2,True,Moderate
44:41.5,SENSOR_29,GAIL Vijaipur,PLT109,3.89,34.87,145.62,141.6,109.7,17.86,20.09,58.98,5.39,NE,111,0.22,True,High
44:41.5,SENSOR_32,NTPC Ramagundam,PLT101,4.16,91.87,41.06,188.97,288.58,34.23,20.03,22.75,11.18,S,184,0.37,True,Moderate
44:41.5,SENSOR_12,Adani Mundra,PLT105,3.35,100.18,127.4,243.64,242.43,156.95,21.18,28.39,4.41,W,202,0.4,True,High
44:41.5,SENSOR_49,Vedanta Jharsuguda,PLT103,0.38,110.92,140.81,21.41,66.4,84.13,43.02,43.71,7.85,SW,64,0.13,True,High
44:41.5,SENSOR_40,ONGC Hazira,PLT108,0.3,38.19,148.06,289.88,21.88,171.57,34.17,85.09,7.09,SE,144,0.29,True,High
44:41.5,SENSOR_16,Tata Steel Jamshedpur,PLT100,2.63,102.88,101.7,50.5,31.39,58.89,36.14,35.14,10.26,SE,60,0.12,True,Moderate
44:41.5,SENSOR_47,Vedanta Jharsuguda,PLT103,4.85,27.84,102.53,138.69,349.89,36.0,35.78,82.86,14.2,SW,176,0.35,True,Moderate
44:41.5,SENSOR_16,GAIL Vijaipur,PLT109,3.45,104.46,94.59,261.98,236.83,10.32,42.93,71.71,10.31,N,206,0.41,True,Moderate
44:41.5,SENSOR_24,IOCL Panipat Refinery,PLT106,1.16,135.19,62.11,198.86,60.51,120.12,44.98,23.62,14.67,NW,130,0.26,True,Moderate
44:41.5,SENSOR_43,ONGC Hazira,PLT108,2.09,175.44,118.45,174.43,300.61,158.74,27.12,44.53,10.18,W,206,0.41,True,Moderate
44:41.5,SENSOR_50,ONGC Hazira,PLT108,4.06,154.83,120.68,136.32,330.78,26.04,31.33,20.43,5.21,NE,196,0.39,True,Moderate
44:41.5,SENSOR_6,IOCL Panipat Refinery,PLT106,1.9,85.27,105.84,122.68,190.5,46.57,26.2,37.05,1.56,W,133,0.27,True,Moderate
44:41.5,SENSOR_2,ONGC Hazira,PLT108,3.06,136.96,94.83,144.41,164.32,156.08,30.57,55.94,0.87,SE,143,0.29,True,Moderate
44:41.5,SENSOR_1,ONGC Hazira,PLT108,1.77,82.24,62.83,178.25,222.77,111.38,37.95,80.97,10.91,E,160,0.32,False,Normal
44:41.5,SENSOR_7,IOCL Panipat Refinery,PLT106,4.78,13.46,33.39,12.19,266.04,162.16,22.3,89.53,1.37,W,90,0.18,True,Moderate
44:41.5,SENSOR_48,JSW Vijayanagar,PLT104,4.68,76.81,19.71,150.9,117.58,54.85,24.22,80.23,8.32,SE,112,0.22,False,Normal
